username, created_at, lng, lat, text
wadezanc27, Fri Apr 24 02:00:56 +0000 2020, -75.699505, 44.600669, The 49ers: Trade DL for 13th overall to get cheaper at the spot.Also the 49ers: Spend the 13th pick on a DL.Gotta love it.
dayraaaaaaaa, Fri Apr 24 02:00:56 +0000 2020, -73.849441, 40.850347, As I’ve gotten older being a mother is definitely a goal of mine. Around 18/19 I really didn’t think I should be a… https://t.co/2rSngWelhX
Travis_Statham, Fri Apr 24 02:00:56 +0000 2020, -73.948775, 40.655138, @danielbiblenerd @Elishabenabuya How many people did god kill because he didn’t love them? All of them. Thanks god.
shawnmicallef, Fri Apr 24 02:00:56 +0000 2020, -79.405885, 43.638355, A fort https://t.co/BLpSL1WOWB
berkdahjerk, Fri Apr 24 02:00:57 +0000 2020, -72.920917, 41.393470, Why his father roll off the couch like that lmao
SeanWats, Fri Apr 24 02:00:57 +0000 2020, -77.604684, 41.117936, Most violent player in the draft.  I like that quality.
UFOA854, Fri Apr 24 02:00:57 +0000 2020, -73.831187, 40.670879, Awesome tribute to the doctors, nurses, staff and patients at NYPres. Downtown tonight
GopDog, Fri Apr 24 02:00:57 +0000 2020, -73.968542, 40.780709, Be informed...Here’s a show for you… Welcome Taiwan to the community of nations #in-the-time-of-the-virus. Michael… https://t.co/NOcfpI6zUW
nimmohoes, Fri Apr 24 02:00:57 +0000 2020, -74.184848, 40.734494, 10 lmaooo.
PS60si, Fri Apr 24 02:00:57 +0000 2020, -74.153947, 40.572376, Today’s #spiritweek theme was #jerseyday ! ⚽️🏀🏈⚾️🥎 @ps60 we DEFINITELY have #teampride ! #remotelearning @SIBOD31… https://t.co/Su4l3orqll
PalaceofVictor, Fri Apr 24 02:00:58 +0000 2020, -76.473111, 44.320833, Niners grab interior d-lineman to replace the one they traded for that pick. Makes sense although shocked they didn’t go receiver
idkefrain, Fri Apr 24 02:00:58 +0000 2020, -73.948775, 40.655138, 49ers do not need more linemen they need a wideout, why did they just do that
SDavidsonWKTV, Fri Apr 24 02:00:59 +0000 2020, -75.770041, 42.746617, @JasonPowles @BillKardas My terrible hiding spot exposed.
NicholasCrimi, Fri Apr 24 02:01:00 +0000 2020, -74.153947, 40.572376, 🔥🔥🔥🔥
